Name,Category,Stock,Color,Size,Period,Notes
Trench Coat,Jackets and Coats,1,Khaki/Brown,L,,Staining on front
Tweed Coat,Jackets and Coats,1,Grey,M/L,,Staining on front
Suit Trousers,Trousers and Shorts,1,Grey,12,,
Trench Coat,Jackets and Coats,1,Dark beige,L,,
Fur Coat,Jackets and Coats,1,Brown,M,,
Velcro Tear-away Shorts ,Trousers and Shorts,1,blue,34,,
Ringleader Jacket,Jackets and Coats,1,Red and black,50,,
Tweed Jacket,Jackets and Coats,1,Grey,L,,Multiple paint stains
Suit Trousers,Trousers and Shorts,1,Beige,30,,
Skirt,Dresses and Skirts,1,Black,16,,
Denim Skirt,Dresses and Skirts,1,Blue,M,modern,
Leggings,Trousers and Shorts,1,Purple ,8,,
Trousers,Trousers and Shorts,1,Black and white check,M,,
Blouse,Tops and Shirts,1,Blue and white polka dot,8,,
Cardigan,Tops and Shirts,1,Brown,M/L,,
Tailcoat,Jackets and Coats,1,Burgundy,M,1800s,"Multiple stains and lining issues, shoddy cuffs"
Tailcoat,Jackets and Coats,1,Grey,L,1800s,Rip on right shoulder and collar
Floor-Length Cardigan,Tops and Shirts,1,Navy,S/M,,White marks on back
Cropped Jacket,Jackets and Coats,1,Grey,10,1800s,
Jumper,Tops and Shirts,1,Grey,M,,
Turtleneck,Tops and Shirts,1,Black,40,,
Trousers,Trousers and Shorts,1,Green,S,military,
Suit Jacket,Jackets and Coats,1,Brown,40,,Some fraying
Jumper,Tops and Shirts,1,Purple,S,,No  
Long-Sleeved Blouse/Top,Tops and Shirts,1,Blue and white,8,,Stains on collar
Bandeau Top,Tops and Shirts,1,Blue,S,,
Blouse with Underlayer,Tops and Shirts,1,White,8,,Staining on front right collar - needs wash
Slip with Lace Back,Tops and Shirts,1,Black,S,,
Boilersuit,All-in-one,1,Blue,M/L,,
Boilersuit,All-in-one,1,Green,M/L,,
Boilersuit,All-in-one,1,Grey,EU48,,
Boilersuit,All-in-one,1,Green,EU46,,
Boilersuit,All-in-one,1,Grey,EU48,,
Boilersuit,All-in-one,1,Green,EU52,,
Suit Jacket,Jackets and Coats,1,Dark grey,M/L,,Multiple stains
Suit Jacket,Jackets and Coats,1,Black pinstripe,M,,Stains on front
Velvet Patterned Dress,Dresses and Skirts,1,Pink,14,,Issues with seaming
Dressing Gown,Misc,1,Floral blue and pink,12-14,,
Shirt Dress,Dresses and Skirts,1,Red and black,XL,,
Shirt,Tops and Shirts,1,Red,L,,Small stain at bottom of inside
Dress with Bow on Front,Dresses and Skirts,1,Dark green,8,,
Hazmat Suit,All-in-one,1,White,M/L,,In need of wash
Pencil Skirt with Slit,Dresses and Skirts,1,Red and black snakeskin,S,,Leather fraying at zip and on slit
Skirt,Dresses and Skirts,1,Purple corduroy,14,,
Button-Up Skirt,Dresses and Skirts,1,Pink,12,,Loose threads
Pencil Skirt,Dresses and Skirts,1,Navy,12,,Significant seaming issues - clumsily safety pinned
Pencil Skirt,Dresses and Skirts,1,Grey,10,,
Elasticated Corduroy Pleated Skirt,Dresses and Skirts,1,Red,M,,
A-Line Skirt,Dresses and Skirts,1,Turquoise ,M,,Seaming issues inside
Shiny Satin Skirt,Dresses and Skirts,1,Red,14,,
Velvet Bodycon Skirt,Dresses and Skirts,1,Deep red,12,,
Skirt,Dresses and Skirts,1,Red,12,,
Pleated Button Up Skirt,Dresses and Skirts,1,Dark green,16,,"Some buttons without embellishment, hole on the front "
Pencil skirt,Dresses and Skirts,1,Green,12,,
Button up pleated skirt,Dresses and Skirts,1,Red,10,,
Tweed Skirt,Dresses and Skirts,1,Grey,M,,
Pleated Skirt,Dresses and Skirts,1,Tan,10,,Issue with seam below zip
Mini Skirt,Dresses and Skirts,1,Black ,Age 14-15,,
Circle Skirt,Dresses and Skirts,1,Black,S,,
Pencil Skirt,Dresses and Skirts,1,Blue,10,,Minor staining on the front
Canvas Skirt,Dresses and Skirts,1,Beige,14,,No 
Pleated Skirt,Dresses and Skirts,1,Pink ,12,,
Elasticated Waist Skirt,Dresses and Skirts,1,Navy,14,,No (needs wash)
Shiny Skirt,Dresses and Skirts,1,Black,12,,
Elasticated Waist Pleated Skirt,Dresses and Skirts,1,Brown,M,,
Pleated Skirt,Dresses and Skirts,1,black,14,,
Overlap Skirt,Dresses and Skirts,1,Orange,14,,
Corduroy Skirt,Dresses and Skirts,1,Red,12,,Stains on front
Button-Up Pleated Skirt,Dresses and Skirts,1,Brown,16,,
Button-Up Crepe Skirt,Dresses and Skirts,1,Red,12,,Stains on front and back
Bodycon Mid-Length Skirt,Dresses and Skirts,1,Black,M,,
Pencil Skirt,Dresses and Skirts,1,Black,8,,
Period Dress with Underlay and Belt,Dresses and Skirts,1,Blue polyester,M,Shakespeare,
Period Dress ,Dresses and Skirts,1,Red with blue cuffs,S,Shakespeare,
Elasticated Trousers,Trousers and Shorts,1,Brown,S,Shakespeare,
Elasticated Trousers,Trousers and Shorts,4,Brown,M,Shakespeare,
Elasticated Trousers,Trousers and Shorts,2,Brown,L,Shakespeare,
Tunic and Cloak,Tops and Shirts,1,Pink and purple,L,Shakespeare,
Tunic,Tops and Shirts,1,Purple,M-L,Shakespeare,
